Region,year,RptArea,rfharv,pelagic_harv,nonpel_harv,ye_harv,not_ye_nonpel_harv,pPel,pYEinNonpel,pYEinNonpel_avgpost2006,var_pYEinNonpel_avgpost2006,pYE,pYE_avgRptArea,var_pYE_avgRptArea
SC,1998,AFOGNAK,416,329,87,NA,NA,0.790865385,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,1999,AFOGNAK,506,419,87,NA,NA,0.828063241,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2000,AFOGNAK,1412,1224,188,NA,NA,0.866855524,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2001,AFOGNAK,535,477,58,NA,NA,0.891588785,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2002,AFOGNAK,345,291,54,NA,NA,0.843478261,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2003,AFOGNAK,567,484,83,NA,NA,0.85361552,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2004,AFOGNAK,468,338,130,NA,NA,0.722222222,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2005,AFOGNAK,1385,1179,206,NA,NA,0.851263538,,0.731684978,0.017710,,0.122227123,1.03E-03
SC,2006,AFOGNAK,925,766,159,133,26,0.828108108,0.836477987,0.731684978,0.017710,0.143783784,0.122227123,1.03E-03
SC,2007,AFOGNAK,2488,2184,304,217,87,0.877813505,0.713815789,0.731684978,0.017710,0.08721865,0.122227123,1.03E-03
SC,2008,AFOGNAK,2670,2069,601,509,92,0.774906367,0.846921797,0.731684978,0.017710,0.190636704,0.122227123,1.03E-03
SC,2009,AFOGNAK,3763,3206,557,466,91,0.851979803,0.836624776,0.731684978,0.017710,0.123837364,0.122227123,1.03E-03
SC,2010,AFOGNAK,3032,1971,1061,348,713,0.650065963,0.32799246,0.731684978,0.017710,0.114775726,0.122227123,1.03E-03
SC,2011,AFOGNAK,3052,2565,487,385,102,0.840432503,0.790554415,0.731684978,0.017710,0.126146789,0.122227123,1.03E-03
SC,2012,AFOGNAK,3025,2461,564,411,153,0.813553719,0.728723404,0.731684978,0.017710,0.135867769,0.122227123,1.03E-03
SC,2013,AFOGNAK,2487,2014,473,382,91,0.809811017,0.807610994,0.731684978,0.017710,0.153598713,0.122227123,1.03E-03
SC,2014,AFOGNAK,2843,2263,580,434,146,0.795990151,0.748275862,0.731684978,0.017710,0.152655645,0.122227123,1.03E-03
SC,2015,AFOGNAK,3919,3289,630,421,209,0.839244705,0.668253968,0.731684978,0.017710,0.107425364,0.122227123,1.03E-03
SC,2016,AFOGNAK,5287,4527,760,544,216,0.856251182,0.715789474,0.731684978,0.017710,0.102893891,0.122227123,1.03E-03
SC,2017,AFOGNAK,4756,4217,539,416,123,0.88666947,0.771799629,0.731684978,0.017710,0.087468461,0.122227123,1.03E-03
SC,2018,AFOGNAK,5694,5092,602,449,153,0.894274675,0.745847176,0.731684978,0.017710,0.078854935,0.122227123,1.03E-03
SC,2019,AFOGNAK,6782,5762,1020,719,301,0.849601887,0.704901961,0.731684978,0.017710,0.106015925,0.122227123,1.03E-03
SC,1998,ALEUTIAN,214,89,125,NA,NA,0.41588785,,,,,,
SC,1999,ALEUTIAN,45,13,32,NA,NA,0.288888889,,,,,,
SC,2000,ALEUTIAN,61,59,2,NA,NA,0.967213115,,,,,,
SC,2001,ALEUTIAN,67,47,20,NA,NA,0.701492537,,,,,,
SC,2002,ALEUTIAN,112,100,12,NA,NA,0.892857143,,,,,,
SC,2003,ALEUTIAN,178,178,0,0,0,1,,,,0,,
SC,2004,ALEUTIAN,51,40,11,NA,NA,0.784313725,,,,,,
SC,2005,ALEUTIAN,34,32,2,NA,NA,0.941176471,,,,,,
SC,2006,ALEUTIAN,8,3,5,5,0,0.375,1,,,0.625,,
SC,2007,ALEUTIAN,27,16,11,7,4,0.592592593,0.636363636,,,0.259259259,,
SC,2008,ALEUTIAN,25,17,8,8,0,0.68,1,,,0.32,,
SC,2009,ALEUTIAN,0,0,0,0,0,,,,,,,
SC,2010,ALEUTIAN,54,54,0,0,0,1,,,,0,,
SC,2011,ALEUTIAN,5,0,5,0,5,0,0,,,0,,
SC,2012,ALEUTIAN,13,13,0,0,0,1,,,,0,,
SC,2013,ALEUTIAN,0,0,0,0,0,,,,,,,
SC,2014,ALEUTIAN,44,44,0,0,0,1,,,,0,,
SC,2015,ALEUTIAN,21,1,20,2,18,0.047619048,0.1,,,0.095238095,,
SC,2016,ALEUTIAN,1,0,1,1,0,0,1,,,,,
SC,2017,ALEUTIAN,1,0,1,0,1,0,0,,,,,
SC,2018,ALEUTIAN,92,90,2,0,2,0.97826087,0,,,0,,
SC,2019,ALEUTIAN,91,91,0,0,0,1,,,,,,
SC,1998,BERING,0,0,0,0,0,,,,,,,
SC,1999,BERING,0,0,0,0,0,,,,,,,
SC,2000,BERING,0,0,0,0,0,,,,,,,
SC,2001,BERING,0,0,0,0,0,,,,,,,
SC,2002,BERING,1,1,0,0,0,1,,,,,,
SC,2003,BERING,0,0,0,0,0,,,,,,,
SC,2004,BERING,0,0,0,0,0,,,,,,,
SC,2005,BERING,0,0,0,0,0,,,,,,,
SC,2006,BERING,0,0,0,0,0,,,,,,,
SC,2007,BERING,0,0,0,0,0,,,,,,,
SC,2008,BERING,0,0,0,0,0,,,,,,,
SC,2009,BERING,0,0,0,0,0,,,,,,,
SC,2010,BERING,0,0,0,0,0,,,,,,,
SC,2011,BERING,0,0,0,0,0,,,,,,,
SC,2012,BERING,0,0,0,0,0,,,,,,,
SC,2013,BERING,0,0,0,0,0,,,,,,,
SC,2014,BERING,0,0,0,0,0,,,,,,,
SC,2015,BERING,0,0,0,0,0,,,,,,,
SC,2016,BERING,0,0,0,0,0,,,,,,,
SC,2017,BERING,6,6,0,0,0,1,,,,0,,
SC,2018,BERING,13,11,2,1,1,0.846153846,0.5,,,0.076923077,,
SC,2019,BERING,0,0,0,0,0,,,,,,,
SC,1998,CHIGNIK,1,0,1,NA,NA,,,,,,,
SC,1999,CHIGNIK,0,0,0,0,0,,,,,,,
SC,2000,CHIGNIK,0,0,0,0,0,,,,,,,
SC,2001,CHIGNIK,0,0,0,0,0,,,,,,,
SC,2002,CHIGNIK,0,0,0,0,0,,,,,,,
SC,2003,CHIGNIK,0,0,0,0,0,,,,,,,
SC,2004,CHIGNIK,29,23,6,NA,NA,0.793103448,,,,,,
SC,2005,CHIGNIK,61,61,0,NA,NA,1,,,,,,
SC,2006,CHIGNIK,68,66,2,0,2,0.970588235,0,,,0,,
SC,2007,CHIGNIK,154,154,0,0,0,1,,,,0,,
SC,2008,CHIGNIK,113,113,0,0,0,1,,,,0,,
SC,2009,CHIGNIK,4,4,0,0,0,1,,,,0,,
SC,2010,CHIGNIK,105,47,58,0,58,0.447619048,0,,,0,,
SC,2011,CHIGNIK,60,60,0,0,0,1,,,,0,,
SC,2012,CHIGNIK,121,99,22,0,22,0.818181818,0,,,0,,
SC,2013,CHIGNIK,69,19,50,0,50,0.275362319,0,,,0,,
SC,2014,CHIGNIK,62,56,6,0,6,0.903225806,0,,,0,,
SC,2015,CHIGNIK,43,3,40,0,40,0.069767442,0,,,0,,
SC,2016,CHIGNIK,7,0,7,0,7,0,0,,,0,,
SC,2017,CHIGNIK,0,0,0,0,0,,,,,,,
SC,2018,CHIGNIK,10,10,0,0,0,1,,,,0,,
SC,2019,CHIGNIK,8,6,0,2,0,0.75,,,,0.25,,
SC,1998,CI,994,723,271,NA,NA,0.727364185,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,1999,CI,911,809,102,NA,NA,0.888035126,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2000,CI,1400,1225,175,NA,NA,0.875,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2001,CI,763,694,69,NA,NA,0.909567497,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2002,CI,2378,2107,271,NA,NA,0.886038688,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2003,CI,4623,4247,376,NA,NA,0.918667532,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2004,CI,4736,4470,266,NA,NA,0.943834459,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2005,CI,3615,3460,155,NA,NA,0.957123098,,0.385491478,1.66E-02,,0.036273785,1.49E-04
SC,2006,CI,2463,2250,213,98,115,0.913520097,0.460093897,0.385491478,1.66E-02,0.039788875,0.036273785,1.49E-04
SC,2007,CI,2559,2365,194,94,100,0.924189136,0.484536082,0.385491478,1.66E-02,0.036733099,0.036273785,1.49E-04
SC,2008,CI,2163,2006,157,96,61,0.927415626,0.611464968,0.385491478,1.66E-02,0.044382802,0.036273785,1.49E-04
SC,2009,CI,2918,2662,256,142,114,0.912268677,0.5546875,0.385491478,1.66E-02,0.048663468,0.036273785,1.49E-04
SC,2010,CI,4422,3249,1173,185,988,0.734735414,0.15771526,0.385491478,1.66E-02,0.041836273,0.036273785,1.49E-04
SC,2011,CI,3046,2570,476,174,302,0.843729481,0.365546218,0.385491478,1.66E-02,0.057124097,0.036273785,1.49E-04
SC,2012,CI,4677,4109,568,201,367,0.878554629,0.353873239,0.385491478,1.66E-02,0.042976267,0.036273785,1.49E-04
SC,2013,CI,4808,4380,428,162,266,0.910981697,0.378504673,0.385491478,1.66E-02,0.033693844,0.036273785,1.49E-04
SC,2014,CI,4731,4369,362,94,268,0.923483407,0.259668508,0.385491478,1.66E-02,0.019868949,0.036273785,1.49E-04
SC,2015,CI,6321,5864,457,134,323,0.927701313,0.29321663,0.385491478,1.66E-02,0.021199177,0.036273785,1.49E-04
SC,2016,CI,10123,9344,779,185,594,0.923046528,0.237483954,0.385491478,1.66E-02,0.018275215,0.036273785,1.49E-04
SC,2017,CI,8376,7453,923,391,532,0.889804202,0.423618635,0.385491478,1.66E-02,0.046680993,0.036273785,1.49E-04
SC,2018,CI,13009,11978,1031,376,655,0.920747175,0.364694471,0.385491478,1.66E-02,0.028903067,0.036273785,1.49E-04
SC,2019,CI,16061,15076,985,445,540,0.938671316,0.45177665,0.385491478,1.66E-02,0.027706868,0.036273785,1.49E-04
SC,1998,EASTSIDE,157,75,82,NA,NA,0.477707006,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,1999,EASTSIDE,121,100,21,NA,NA,0.826446281,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2000,EASTSIDE,423,380,43,NA,NA,0.898345154,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2001,EASTSIDE,298,231,67,NA,NA,0.775167785,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2002,EASTSIDE,319,269,50,NA,NA,0.843260188,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2003,EASTSIDE,1012,964,48,NA,NA,0.95256917,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2004,EASTSIDE,730,672,58,NA,NA,0.920547945,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2005,EASTSIDE,1242,1074,168,NA,NA,0.8647343,,0.603964641,6.00E-02,,0.032423716,4.15E-04
SC,2006,EASTSIDE,1516,1356,160,122,38,0.894459103,0.7625,0.603964641,6.00E-02,0.080474934,0.032423716,4.15E-04
SC,2007,EASTSIDE,3481,3310,171,108,63,0.950876185,0.631578947,0.603964641,6.00E-02,0.031025567,0.032423716,4.15E-04
SC,2008,EASTSIDE,2311,2098,213,140,73,0.907832107,0.657276995,0.603964641,6.00E-02,0.060579836,0.032423716,4.15E-04
SC,2009,EASTSIDE,2296,2247,49,30,19,0.978658537,0.612244898,0.603964641,6.00E-02,0.013066202,0.032423716,4.15E-04
SC,2010,EASTSIDE,2555,1663,892,74,818,0.650880626,0.082959641,0.603964641,6.00E-02,0.028962818,0.032423716,4.15E-04
SC,2011,EASTSIDE,1928,1853,75,39,36,0.961099585,0.52,0.603964641,6.00E-02,0.020228216,0.032423716,4.15E-04
SC,2012,EASTSIDE,3433,3210,223,76,147,0.935042237,0.340807175,0.603964641,6.00E-02,0.022138072,0.032423716,4.15E-04
SC,2013,EASTSIDE,2207,2081,126,54,72,0.942908926,0.428571429,0.603964641,6.00E-02,0.024467603,0.032423716,4.15E-04
SC,2014,EASTSIDE,3551,3385,166,131,35,0.953252605,0.789156627,0.603964641,6.00E-02,0.036891017,0.032423716,4.15E-04
SC,2015,EASTSIDE,2787,2635,152,149,3,0.945461069,0.980263158,0.603964641,6.00E-02,0.053462504,0.032423716,4.15E-04
SC,2016,EASTSIDE,3561,3392,169,99,70,0.952541421,0.585798817,0.603964641,6.00E-02,0.027801179,0.032423716,4.15E-04
SC,2017,EASTSIDE,3933,3877,56,37,19,0.985761505,0.660714286,0.603964641,6.00E-02,0.009407577,0.032423716,4.15E-04
SC,2018,EASTSIDE,3914,3690,224,102,122,0.942769545,0.455357143,0.603964641,6.00E-02,0.026060296,0.032423716,4.15E-04
SC,2019,EASTSIDE,5680,5564,116,110,6,0.979577465,0.948275862,0.603964641,6.00E-02,0.019366197,0.032423716,4.15E-04
SC,1998,MAINLAND,6,5,1,NA,NA,0.833333333,,,,,,
SC,1999,MAINLAND,4,4,0,0,0,1,,,,0,,
SC,2000,MAINLAND,26,26,0,0,0,1,,,,0,,
SC,2001,MAINLAND,1,1,0,0,0,,,,,,,
SC,2002,MAINLAND,15,15,0,0,0,1,,,,0,,
SC,2003,MAINLAND,11,11,0,0,0,1,,,,0,,
SC,2004,MAINLAND,8,5,3,NA,NA,0.625,,,,,,
SC,2005,MAINLAND,31,31,0,0,0,1,,,,0,,
SC,2006,MAINLAND,15,15,0,0,0,1,,,,0,,
SC,2007,MAINLAND,31,15,16,16,0,0.483870968,1,,,0.516129032,,
SC,2008,MAINLAND,10,1,9,7,2,0.1,0.777777778,,,0.7,,
SC,2009,MAINLAND,3,1,2,2,0,0.333333333,1,,,0.666666667,,
SC,2010,MAINLAND,11,3,8,8,0,0.272727273,1,,,0.727272727,,
SC,2011,MAINLAND,99,98,1,1,0,0.98989899,,,,0.01010101,,
SC,2012,MAINLAND,0,0,0,0,0,,,,,,,
SC,2013,MAINLAND,4,3,1,0,1,0.75,,,,0,,
SC,2014,MAINLAND,0,0,0,0,0,,,,,,,
SC,2015,MAINLAND,9,9,0,0,0,1,,,,0,,
SC,2016,MAINLAND,1,0,1,0,1,,,,,,,
SC,2017,MAINLAND,2,1,1,1,0,0.5,,,,0.5,,
SC,2018,MAINLAND,3,3,0,0,0,1,,,,0,,
SC,2019,MAINLAND,0,0,0,0,0,,,,,,,
SC,1998,NG,5169,3927,1242,NA,NA,0.759721416,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,1999,NG,9276,8138,1138,NA,NA,0.877317809,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2000,NG,13107,10703,2404,NA,NA,0.816586557,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2001,NG,20907,18457,2450,NA,NA,0.882814368,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2002,NG,17318,15088,2230,NA,NA,0.871232244,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2003,NG,17020,13573,3447,NA,NA,0.797473561,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2004,NG,19434,15959,3475,NA,NA,0.821189668,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2005,NG,22792,18621,4171,NA,NA,0.816997192,,0.615362779,7.41E-03,,0.105663341,6.29E-04
SC,2006,NG,19998,15867,4131,2876,1255,0.793429343,0.696199467,0.615362779,7.41E-03,0.143814381,0.105663341,6.29E-04
SC,2007,NG,23861,19743,4118,2978,1140,0.827417124,0.723166586,0.615362779,7.41E-03,0.124806169,0.105663341,6.29E-04
SC,2008,NG,25596,20867,4729,3376,1353,0.815244569,0.713893001,0.615362779,7.41E-03,0.131895609,0.105663341,6.29E-04
SC,2009,NG,21909,18588,3321,2548,773,0.848418458,0.767238783,0.615362779,7.41E-03,0.116299238,0.105663341,6.29E-04
SC,2010,NG,27027,20838,6189,3449,2740,0.771006771,0.557279043,0.615362779,7.41E-03,0.127613128,0.105663341,6.29E-04
SC,2011,NG,30322,24713,5609,3576,2033,0.815018798,0.6375468,0.615362779,7.41E-03,0.117934173,0.105663341,6.29E-04
SC,2012,NG,27771,22056,5715,3368,2347,0.794209787,0.589326334,0.615362779,7.41E-03,0.121277592,0.105663341,6.29E-04
SC,2013,NG,30558,25257,5301,3428,1873,0.826526605,0.64667044,0.615362779,7.41E-03,0.112180116,0.105663341,6.29E-04
SC,2014,NG,37025,31936,5089,2911,2178,0.86255233,0.572018078,0.615362779,7.41E-03,0.078622552,0.105663341,6.29E-04
SC,2015,NG,45883,39744,6139,3283,2856,0.866203169,0.534777651,0.615362779,7.41E-03,0.071551555,0.105663341,6.29E-04
SC,2016,NG,56991,49153,7838,4064,3774,0.862469513,0.518499617,0.615362779,7.41E-03,0.071309505,0.105663341,6.29E-04
SC,2017,NG,38626,32335,6291,3405,2886,0.83713043,0.541249404,0.615362779,7.41E-03,0.088153058,0.105663341,6.29E-04
SC,2018,NG,50115,41846,8269,4260,4009,0.834999501,0.515177168,0.615362779,7.41E-03,0.08500449,0.105663341,6.29E-04
SC,2019,NG,64565,55039,9526,5735,3791,0.852458762,0.602036532,0.615362779,7.41E-03,0.088825215,0.105663341,6.29E-04
SC,1998,NORTHEAS,1488,977,511,NA,NA,0.656586022,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,1999,NORTHEAS,1866,1689,177,NA,NA,0.905144695,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2000,NORTHEAS,2115,1865,250,NA,NA,0.88179669,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2001,NORTHEAS,2081,1854,227,NA,NA,0.890917828,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2002,NORTHEAS,2262,2052,210,NA,NA,0.907161804,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2003,NORTHEAS,2743,2477,266,NA,NA,0.903025884,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2004,NORTHEAS,3291,3068,223,NA,NA,0.932239441,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2005,NORTHEAS,4641,4325,316,NA,NA,0.931911226,,0.529871894,3.09E-02,,0.030448345,3.30E-05
SC,2006,NORTHEAS,3693,3519,174,96,78,0.952883834,0.551724138,0.529871894,3.09E-02,0.025995126,0.030448345,3.30E-05
SC,2007,NORTHEAS,5080,4652,428,156,272,0.915748031,0.364485981,0.529871894,3.09E-02,0.030708661,0.030448345,3.30E-05
SC,2008,NORTHEAS,6260,5853,407,268,139,0.934984026,0.658476658,0.529871894,3.09E-02,0.042811502,0.030448345,3.30E-05
SC,2009,NORTHEAS,6369,6087,282,190,92,0.955723033,0.673758865,0.529871894,3.09E-02,0.029831999,0.030448345,3.30E-05
SC,2010,NORTHEAS,8141,6708,1433,288,1145,0.823977398,0.200976971,0.529871894,3.09E-02,0.035376489,0.030448345,3.30E-05
SC,2011,NORTHEAS,6904,6611,293,140,153,0.957560834,0.4778157,0.529871894,3.09E-02,0.0202781,0.030448345,3.30E-05
SC,2012,NORTHEAS,6813,6257,556,205,351,0.918391311,0.368705036,0.529871894,3.09E-02,0.030089535,0.030448345,3.30E-05
SC,2013,NORTHEAS,9965,9327,638,361,277,0.935975916,0.565830721,0.529871894,3.09E-02,0.036226794,0.030448345,3.30E-05
SC,2014,NORTHEAS,11896,10360,1536,392,1144,0.870880968,0.255208333,0.529871894,3.09E-02,0.032952253,0.030448345,3.30E-05
SC,2015,NORTHEAS,12377,11799,578,394,184,0.953300477,0.6816609,0.529871894,3.09E-02,0.031833239,0.030448345,3.30E-05
SC,2016,NORTHEAS,13580,12861,719,425,294,0.947054492,0.591098748,0.529871894,3.09E-02,0.031296024,0.030448345,3.30E-05
SC,2017,NORTHEAS,6719,6478,241,176,65,0.964131567,0.730290456,0.529871894,3.09E-02,0.026194374,0.030448345,3.30E-05
SC,2018,NORTHEAS,8479,8163,316,209,107,0.962731454,0.661392405,0.529871894,3.09E-02,0.024649133,0.030448345,3.30E-05
SC,2019,NORTHEAS,9881,9446,435,277,158,0.955976116,0.636781609,0.529871894,3.09E-02,0.0280336,0.030448345,3.30E-05
SC,1998,PWSI,3821,2098,1723,NA,NA,0.549070924,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,1999,PWSI,4514,2609,1905,NA,NA,0.577979619,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,2000,PWSI,6011,3391,2620,NA,NA,0.564132424,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,2001,PWSI,7036,4209,2827,NA,NA,0.59820921,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,2002,PWSI,7398,4880,2518,NA,NA,0.65963774,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,2003,PWSI,11932,8745,3187,NA,NA,0.732903118,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,2004,PWSI,10310,7438,2872,NA,NA,0.7214355,,0.461810221,1.15E-02,,0.131052896,2.06E-03
SC,2005,PWSI,10930,8176,2754,NA,NA,0.748032937,,0.461810221,1.15E-02,,0.131052896,2.06E-03
