"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt"
142,"Charter",2007,"NG",516,39,2.28718662952646,0.582186829272419
142,"Charter",2007,"NORTHEAST",49,7,2.63617021276596,0.532600483238239
142,"Charter",2007,"PWSI",198,17,2.41827956989247,0.565675150127921
142,"Charter",2007,"PWSO",431,25,2.48502415458937,0.652147040265466
142,"Charter",2008,"NG",548,38,2.48880952380952,0.596244021023253
142,"Charter",2008,"NORTHEAST",105,11,2.52421052631579,0.449282119933871
142,"Charter",2008,"PWSI",108,14,2.49690721649485,0.632530237789636
142,"Charter",2008,"PWSO",342,25,2.56878881987578,0.651618707288012
142,"Charter",2009,"CI",23,5,1.725,0.478713553878169
142,"Charter",2009,"NG",651,41,2.32210526315789,0.69703513417835
142,"Charter",2009,"PWSI",189,21,2.51607142857143,0.604461228387212
142,"Charter",2009,"PWSO",654,35,2.57178571428571,0.667652784503594
142,"Charter",2010,"CI",84,12,2.02857142857143,0.512231346542705
142,"Charter",2010,"NG",716,39,2.43934426229508,0.623845363474627
142,"Charter",2010,"NORTHEAST",53,5,2.11818181818182,0.384234776713878
142,"Charter",2010,"PWSI",191,21,2.72820512820513,0.556279330603987
142,"Charter",2010,"PWSO",425,28,2.94909090909091,0.711629715119627
142,"Charter",2011,"CI",30,6,,
142,"Charter",2011,"NG",562,33,2.17241379310345,0.548936165223811
142,"Charter",2011,"NORTHEAST",119,9,2.45492957746479,0.489836337797597
142,"Charter",2011,"PWSI",208,15,2.775,0.411298755975102
142,"Charter",2011,"PWSO",513,26,2.60043668122271,0.590309004466178
142,"Charter",2012,"CI",40,9,2.48571428571429,0.472531178109672
142,"Charter",2012,"NG",583,31,2.26758620689655,0.556137817479311
142,"Charter",2012,"NORTHEAST",108,7,2.20277777777778,0.471517402050165
142,"Charter",2012,"PWSI",280,20,2.40819672131148,0.574831883239849
142,"Charter",2012,"PWSO",490,34,2.53959390862944,0.61648761309986
142,"Charter",2013,"CI",26,7,,
142,"Charter",2013,"NG",779,35,1.96666666666667,0.626297103630141
142,"Charter",2013,"NORTHEAST",244,7,2.24344262295082,0.584714443325476
142,"Charter",2013,"PWSI",312,16,2.76111111111111,0.406743471456306
142,"Charter",2013,"PWSO",489,29,2.76951219512195,0.595831949048394
142,"Charter",2014,"CI",90,10,2.425,0.505799696849784
142,"Charter",2014,"NG",624,32,2.206,0.791900323556557
142,"Charter",2014,"NORTHEAST",251,9,2.29879032258065,0.548053741184025
142,"Charter",2014,"PWSI",409,17,2.56612903225806,0.639345078620911
142,"Charter",2014,"PWSO",785,32,2.82751322751323,0.632358516750649
142,"Charter",2015,"CI",38,7,1.2,0
142,"Charter",2015,"NG",462,19,1.99848484848485,0.694703572477538
142,"Charter",2015,"NORTHEAST",72,4,,
142,"Charter",2015,"PWSI",308,13,1.99210526315789,0.618980486045613
142,"Charter",2015,"PWSO",813,26,2.48630136986301,0.788337749898331
142,"Charter",2016,"CI",35,9,1.65,0.0707106781186547
142,"Charter",2016,"NG",1003,47,2.10552147239264,0.596621303235446
142,"Charter",2016,"NORTHEAST",175,6,2.090625,0.515498000943144
142,"Charter",2016,"PWSI",390,17,2.04666666666667,0.614077282669624
142,"Charter",2016,"PWSO",740,27,2.17358490566038,0.549877938691931
142,"Charter",2017,"CI",45,11,,
142,"Charter",2017,"EASTSIDE",108,4,2.28148148148148,0.480682565344139
142,"Charter",2017,"NG",395,29,1.68333333333333,0.842417157153549
142,"Charter",2017,"NORTHEAST",149,11,1.88201438848921,0.498585215567786
142,"Charter",2017,"PWSI",258,13,,
142,"Charter",2017,"PWSO",575,24,2.27222222222222,0.53115363408955
142,"Charter",2018,"CI",138,21,1.40909090909091,0.903911653346873
142,"Charter",2018,"NG",708,38,1.80062893081761,0.848565196718414
142,"Charter",2018,"NORTHEAST",250,11,2.08755020080321,0.574355900196634
142,"Charter",2018,"PWSI",271,7,2.17674418604651,0.711081406264037
142,"Charter",2018,"PWSO",567,24,2.44867256637168,0.770912613660842
142,"Charter",2019,"CI",216,22,0.90952380952381,0.24969202865806
142,"Charter",2019,"NG",692,37,1.7911877394636,0.819544272518777
142,"Charter",2019,"NORTHEAST",172,7,2.34027777777778,0.584929551008136
142,"Charter",2019,"PWSI",156,13,2.10674157303371,0.805068849795552
142,"Charter",2019,"PWSO",801,34,2.5753488372093,0.714598602566992
142,"Charter",2020,"CI",123,13,,
142,"Charter",2020,"NG",399,24,1.92091503267974,0.597544712571814
142,"Charter",2020,"PWSI",174,12,2.00512820512821,0.726653499286495
142,"Charter",2020,"PWSO",935,30,2.29204152249135,0.77152377974651
142,"Charter",2021,"CI",83,6,,
142,"Charter",2021,"NG",608,30,1.40664206642066,0.577119424961859
142,"Charter",2021,"NORTHEAST",299,9,1.77448979591837,0.521872035461978
142,"Charter",2021,"PWSI",229,16,2.0188679245283,0.557052311392774
142,"Charter",2021,"PWSO",678,17,1.98653846153846,0.8041895570526
142,"Charter",2022,"CI",128,12,1.80588235294118,0.251173715372683
142,"Charter",2022,"NG",664,28,1.38916666666667,0.51533729188489
142,"Charter",2022,"NORTHEAST",115,6,1.72173913043478,0.512609869899649
142,"Charter",2022,"PWSI",616,17,1.98116591928251,0.59669093838468
142,"Charter",2022,"PWSO",519,19,2.19299719887955,0.696928439649389
142,"Charter",2023,"CI",78,9,2.11428571428571,0.423421438150827
142,"Charter",2023,"NG",449,26,1.452,0.443701439869126
142,"Charter",2023,"NORTHEAST",198,6,1.9459595959596,0.532553315539601
142,"Charter",2023,"PWSI",160,14,1.63857142857143,0.534408207744956
142,"Charter",2023,"PWSO",439,17,2.32036199095023,0.744245716513535
142,"Charter",2024,"CI",113,9,2.04782608695652,0.511963162926042
142,"Charter",2024,"NG",552,30,1.65877551020408,0.535056426674478
142,"Charter",2024,"NORTHEAST",71,5,1.94477611940299,0.398209470569673
142,"Charter",2024,"PWSI",274,17,1.68853503184713,0.430558396061149
142,"Charter",2024,"PWSO",437,25,1.82363636363636,0.523344184313716
142,"Charter",2025,"AFOGNAK",66,6,1.85714285714286,0.316729317110779
142,"Charter",2025,"CI",55,8,2.04166666666667,0.458711964817429
142,"Charter",2025,"NG",836,40,1.806875,0.453792110854975
142,"Charter",2025,"NORTHEAST",199,9,1.99447236180905,1.06368883484015
142,"Charter",2025,"PWSI",193,10,1.72133333333333,0.446394969134362
142,"Charter",2025,"PWSO",323,20,1.82272727272727,0.485129149721932
145,"Charter",2007,"NG",55,24,5.16585365853659,2.54289301348853
145,"Charter",2007,"PWSI",76,17,3.58269230769231,1.40987013083547
145,"Charter",2007,"PWSO",167,22,4.39019607843137,1.28946973525648
145,"Charter",2008,"NG",102,22,4.44683544303797,1.7449440107863
145,"Charter",2008,"PWSI",99,17,3.48428571428571,1.48613258564362
145,"Charter",2008,"PWSO",181,23,4.55892857142857,1.61376304967494
145,"Charter",2009,"CI",16,4,5.29166666666667,1.86082011896677
145,"Charter",2009,"NG",101,28,4.37777777777778,2.77356751633645
145,"Charter",2009,"NORTHEAST",16,4,3.55625,2.51792738841559
145,"Charter",2009,"PWSI",74,20,3.22352941176471,1.22426448507329
145,"Charter",2009,"PWSO",269,30,4.56972972972973,1.57392214064669
145,"Charter",2010,"NG",207,36,4.77391304347826,1.64957028513606
145,"Charter",2010,"PWSI",102,22,3.15434782608696,1.95967191378094
145,"Charter",2010,"PWSO",262,27,4.59943820224719,1.74377009547617
145,"Charter",2011,"NG",98,19,4.13636363636364,1.95850901855406
145,"Charter",2011,"PWSI",78,16,2.675,1.0351074187837
145,"Charter",2011,"PWSO",158,19,4.19350649350649,1.19045962622334
145,"Charter",2012,"NG",104,25,3.46153846153846,1.91204012402916
145,"Charter",2012,"PWSI",91,23,3.60612244897959,1.55836561864042
145,"Charter",2012,"PWSO",243,28,4.84180327868852,1.69841151667938
145,"Charter",2013,"NG",131,27,4.32,1.3586370879827
145,"Charter",2013,"NORTHEAST",19,5,4.04736842105263,1.67011923095749
145,"Charter",2013,"PWSI",77,16,3.29183673469388,1.78171695454762
145,"Charter",2013,"PWSO",223,23,4.42291666666667,1.47986337681392
145,"Charter",2014,"NG",75,22,3.69285714285714,2.26901004700433
145,"Charter",2014,"NORTHEAST",13,5,4.08333333333333,1.62471442712157
145,"Charter",2014,"PWSI",66,16,3.82333333333333,1.7131707512646
145,"Charter",2014,"PWSO",164,26,4.35714285714286,1.71589967314866
145,"Charter",2015,"NG",48,11,5.62222222222222,2.02038225206134
145,"Charter",2015,"PWSI",77,10,3.55,1.50724744876045
145,"Charter",2015,"PWSO",210,23,3.9,1.7606816861659
145,"Charter",2016,"NG",75,22,4.87222222222222,2.30161210907781
145,"Charter",2016,"PWSI",81,17,4.44444444444444,2.04884791475057
145,"Charter",2016,"PWSO",209,26,4.61666666666667,1.50701425143327
145,"Charter",2017,"NG",48,17,1.3,
145,"Charter",2017,"PWSI",114,8,,
145,"Charter",2017,"PWSO",106,18,6.74285714285714,3.70263741264572
145,"Charter",2018,"NG",92,23,3.85208333333333,1.67662142332821
145,"Charter",2018,"PWSI",67,12,2.82941176470588,1.54773136259704
145,"Charter",2018,"PWSO",130,23,4.33148148148148,1.31290030000903
145,"Charter",2019,"NG",95,26,3.92352941176471,1.9795543170415
145,"Charter",2019,"PWSI",115,14,3.86666666666667,1.43894501999304
145,"Charter",2019,"PWSO",214,26,4.04736842105263,1.94751912069235
145,"Charter",2020,"NG",85,15,3.84782608695652,1.59690521953973
145,"Charter",2020,"PWSI",67,12,3.70444444444444,1.50059920691635
145,"Charter",2020,"PWSO",131,20,4.15510204081633,1.64063773480642
145,"Charter",2021,"NG",47,18,2.81538461538462,1.57345284204956
145,"Charter",2021,"PWSI",35,9,2.93636363636364,1.49149101725269
145,"Charter",2021,"PWSO",84,13,4.14722222222222,1.84413915048437
145,"Charter",2022,"NG",49,19,3.8962962962963,2.1175968748127
145,"Charter",2022,"PWSI",45,10,2.56923076923077,1.28740645664661
145,"Charter",2022,"PWSO",134,19,4.06354166666667,1.6796691272965
145,"Charter",2023,"NG",48,14,4.18181818181818,2.30478515962652
145,"Charter",2023,"PWSI",25,7,2.82352941176471,1.29784889902711
145,"Charter",2023,"PWSO",64,9,4.63,1.85012409953318
145,"Charter",2024,"NG",48,18,3.76578947368421,1.55603034705859
145,"Charter",2024,"PWSI",23,9,2.49090909090909,1.04924215074934
145,"Charter",2024,"PWSO",42,7,4.571875,1.42924170623401
145,"Charter",2025,"NG",133,25,3.46,1.42828568570857
145,"Charter",2025,"NORTHEAST",21,5,2.21904761904762,1.6283792702006
145,"Charter",2025,"PWSI",31,7,2.41875,1.47069994673738
145,"Charter",2025,"PWSO",38,6,4.47777777777778,0.7189884870041
142,"Private",2007,"CI",8,5,2.31666666666667,0.828049917979989
142,"Private",2007,"NG",175,18,2.30705128205128,0.855201329209805
142,"Private",2007,"NORTHEAST",76,15,2.4,0.465663081275677
142,"Private",2007,"PWSI",77,11,2.4031746031746,0.601065788350363
142,"Private",2008,"NG",152,15,2.02636363636364,0.609357801932203
142,"Private",2008,"NORTHEAST",52,15,2.36279069767442,0.422026435537347
142,"Private",2008,"PWSI",86,20,2.31346153846154,0.869308683223053
142,"Private",2008,"PWSO",22,4,2.73,0.416466618643613
142,"Private",2009,"CI",14,5,2.06,0.433589667773576
142,"Private",2009,"NG",400,63,2.12628205128205,0.604511231997594
142,"Private",2009,"NORTHEAST",38,18,2.13529411764706,0.530260757164091
142,"Private",2009,"PWSI",81,16,2.13050847457627,0.450767252921343
142,"Private",2009,"PWSO",59,17,2.55714285714286,0.607623525882885
142,"Private",2010,"CI",37,12,2.1125,0.561990510002912
142,"Private",2010,"NG",364,58,2.14411764705882,0.65876775598018
142,"Private",2010,"NORTHEAST",31,12,2.34285714285714,0.450396650583841
142,"Private",2010,"PWSI",127,19,2.73214285714286,0.593977954701398
142,"Private",2010,"PWSO",77,9,2.75217391304348,0.634514535414417
142,"Private",2011,"CI",52,8,2.2,0.365148371670111
142,"Private",2011,"NG",239,42,2.25,0.353553390593274
142,"Private",2011,"NORTHEAST",51,15,2.06315789473684,0.346747628872434
142,"Private",2011,"PWSI",118,26,2.11379310344828,0.620900347382179
142,"Private",2011,"PWSO",114,13,2.78333333333333,0.343469088118208
142,"Private",2012,"CI",32,9,2.47272727272727,0.494147567212283
142,"Private",2012,"NG",383,46,2.15882352941176,0.901428604722395
142,"Private",2012,"NORTHEAST",114,23,2.16571428571429,0.483214029514177
142,"Private",2012,"PWSI",47,12,2.76666666666667,0.743303437365925
142,"Private",2012,"PWSO",203,21,2.70379746835443,0.481036018155335
142,"Private",2013,"CI",32,12,2.23333333333333,0.251661147842358
142,"Private",2013,"NG",499,62,1.34,0.433589667773576
142,"Private",2013,"NORTHEAST",109,23,1.87575757575758,0.591623984802796
142,"Private",2013,"PWSI",131,26,2.39879518072289,0.718992176744917
142,"Private",2013,"PWSO",209,22,2.73571428571429,0.465856603704559
142,"Private",2014,"CI",35,13,2.04285714285714,0.740804433566112
142,"Private",2014,"NG",362,46,,
142,"Private",2014,"NORTHEAST",98,18,2.68421052631579,0.495830569062028
142,"Private",2014,"PWSI",38,14,2.25806451612903,0.682531656676517
142,"Private",2014,"PWSO",198,20,3.03333333333333,0.152752523165195
142,"Private",2015,"CI",46,21,1.70909090909091,0.747602227731493
142,"Private",2015,"NG",373,54,1.65529411764706,0.511418634396365
142,"Private",2015,"NORTHEAST",278,57,2.20454545454545,0.328745483731097
142,"Private",2015,"PWSI",77,13,2.61666666666667,0.556477013601341
142,"Private",2015,"PWSO",143,15,1.88421052631579,0.707313507336611
142,"Private",2016,"CI",39,11,1.8,0.404969134626332
142,"Private",2016,"NG",305,48,2.04716981132075,0.441850903144465
142,"Private",2016,"NORTHEAST",267,50,2.01666666666667,0.435507366948788
142,"Private",2016,"PWSI",19,7,,
142,"Private",2016,"PWSO",146,16,2.51333333333333,0.432379903501979
142,"Private",2017,"CI",33,10,1.88,0.659629525651415
142,"Private",2017,"NG",145,24,2,0.823103881657716
142,"Private",2017,"NORTHEAST",235,55,1.92446043165468,0.547039691565099
142,"Private",2017,"PWSO",99,13,2.1625,0.523927475897189
142,"Private",2018,"CI",94,20,0.986666666666667,0.515046335073581
142,"Private",2018,"NG",198,48,2.18512396694215,0.921109942499156
142,"Private",2018,"NORTHEAST",227,55,1.83920454545455,0.69938539809245
142,"Private",2018,"PWSI",71,14,2.23809523809524,0.381413411505404
142,"Private",2018,"PWSO",86,12,2.10666666666667,0.73199459830932
142,"Private",2019,"CI",168,21,1.0448275862069,0.469846381478995
142,"Private",2019,"NG",192,32,1.52330097087379,0.751495748164188
142,"Private",2019,"NORTHEAST",189,47,2.3,0.714779050412847
142,"Private",2019,"PWSI",101,15,2.2734693877551,0.796810179769959
142,"Private",2019,"PWSO",138,20,2.27567567567568,0.538209689312325
142,"Private",2020,"CI",64,9,1,0.232379000772445
142,"Private",2020,"NG",149,27,1.75833333333333,0.737095556325589
142,"Private",2020,"NORTHEAST",78,22,1.75,0.5
142,"Private",2020,"PWSI",81,13,2.736,0.482078831727758
142,"Private",2020,"PWSO",117,16,2.3377358490566,0.775397271650112
142,"Private",2021,"CI",48,11,1.13684210526316,0.348346134239733
142,"Private",2021,"NG",122,23,1.50263157894737,0.678620892538296
142,"Private",2021,"NORTHEAST",183,39,1.70530973451327,0.491324868515985
142,"Private",2021,"PWSI",90,7,2.16666666666667,0.561248608016091
142,"Private",2021,"PWSO",51,5,2.68125,0.426174846747201
142,"Private",2022,"CI",46,14,1.68,0.327108544675923
142,"Private",2022,"NG",232,30,1.33723404255319,0.574921040404342
142,"Private",2022,"NORTHEAST",106,21,1.65909090909091,0.421689945514464
142,"Private",2022,"PWSI",31,9,1.92083333333333,0.474551657211645
142,"Private",2022,"PWSO",70,6,2.38846153846154,0.600883964223991
142,"Private",2023,"CI",24,7,2.16666666666667,0.378593889720018
142,"Private",2023,"NG",265,41,1.34459459459459,0.601172801700666
142,"Private",2023,"NORTHEAST",150,34,1.91724137931034,0.474684811741522
142,"Private",2023,"PWSI",136,22,2.154,0.424365071943621
142,"Private",2023,"PWSO",100,12,2.425,0.677126280689208
142,"Private",2024,"CI",23,6,1.2,0.424264068711929
142,"Private",2024,"NG",208,32,1.72727272727273,0.528438879060598
142,"Private",2024,"NORTHEAST",152,33,1.86486486486486,0.388884598860936
142,"Private",2024,"PWSI",59,10,1.79722222222222,0.557794693982401
142,"Private",2024,"PWSO",80,10,1.88421052631579,0.625376131485803
142,"Private",2025,"AFOGNAK",26,5,,
142,"Private",2025,"CI",42,11,2.19333333333333,0.790213124169167
142,"Private",2025,"NG",305,42,1.83174603174603,0.399929589297028
142,"Private",2025,"NORTHEAST",230,51,1.83428571428571,0.368576639921466
142,"Private",2025,"PWSI",60,10,2.05625,0.466725236952654
142,"Private",2025,"PWSO",103,10,1.94776119402985,0.406149028087886
145,"Private",1999,"PWSI",123,4,2.40689655172414,1.27417509294747
145,"Private",2007,"NG",30,11,4.03571428571429,1.93834872177216
145,"Private",2007,"PWSI",125,31,2.80520833333333,1.41200639566664
145,"Private",2008,"NG",28,14,3.30526315789474,1.49609628485845
145,"Private",2008,"PWSI",155,44,2.88240740740741,1.34538523848919
145,"Private",2009,"NG",41,23,4.02692307692308,2.28570473899105
145,"Private",2009,"NORTHEAST",7,4,5.25,1.06066017177982
145,"Private",2009,"PWSI",151,68,2.59642857142857,1.44508664732445
145,"Private",2009,"PWSO",24,10,5.23125,1.5576558242008
145,"Private",2010,"NG",68,36,3.65,1.56473227638922
145,"Private",2010,"PWSI",123,61,3.18666666666667,1.68487455316027
145,"Private",2010,"PWSO",15,5,4.16666666666667,1.56801360538315
145,"Private",2011,"NG",60,26,5.6,3.67695526217005
145,"Private",2011,"PWSI",135,65,2.08072289156626,0.912575801238544
145,"Private",2011,"PWSO",17,9,4.41666666666667,1.01472492167418
145,"Private",2012,"NG",73,30,5.20666666666667,1.62940246131899
145,"Private",2012,"PWSI",158,62,2.62295081967213,0.834544475072669
145,"Private",2012,"PWSO",48,16,3.84444444444444,1.42675892344889
145,"Private",2013,"NG",67,31,10.3,
145,"Private",2013,"PWSI",147,69,2.35555555555556,1.04976187776086
145,"Private",2013,"PWSO",43,17,3.97777777777778,1.44417485978708
145,"Private",2014,"NG",75,35,,
145,"Private",2014,"NORTHEAST",10,6,3.1,
145,"Private",2014,"PWSI",182,71,2.90392156862745,1.4424923964186
145,"Private",2014,"PWSO",48,17,2.85,1.81973310444927
145,"Private",2015,"NG",59,29,4.32727272727273,1.74990908854769
145,"Private",2015,"NORTHEAST",11,7,4.16,0.832466215530697
145,"Private",2015,"PWSI",148,56,2.42876712328767,1.45702126233769
145,"Private",2015,"PWSO",35,10,4.00909090909091,1.72458665604229
145,"Private",2016,"NG",52,27,3.26842105263158,1.83365228485512
145,"Private",2016,"NORTHEAST",5,5,5,
145,"Private",2016,"PWSI",37,16,3,
145,"Private",2016,"PWSO",48,12,2.3,
145,"Private",2017,"NG",20,6,,
145,"Private",2017,"NORTHEAST",6,4,3.06,0.876356092008266
145,"Private",2017,"PWSI",51,22,,
145,"Private",2017,"PWSO",18,4,3.16666666666667,2.2300971578237
145,"Private",2018,"NG",67,30,3.32407407407407,1.653918752446
145,"Private",2018,"NORTHEAST",6,6,3.43333333333333,1.90122767354851
145,"Private",2018,"PWSI",71,35,3.6,1.69213868619961
145,"Private",2018,"PWSO",17,10,3.50769230769231,1.14270259944101
145,"Private",2019,"NG",68,31,3.12982456140351,1.95840358749897
145,"Private",2019,"NORTHEAST",9,7,4.4,0.916515138991168
145,"Private",2019,"PWSI",99,52,2.76585365853659,1.25032190976915
145,"Private",2019,"PWSO",38,20,4.01666666666667,2.38626118106179
145,"Private",2020,"NG",55,24,4.11176470588235,1.64828004127762
145,"Private",2020,"PWSI",77,43,3.10882352941176,1.00735707221657
145,"Private",2020,"PWSO",35,9,3.63125,1.60029945114448
145,"Private",2021,"NG",23,11,3.64210526315789,1.63037684446595
145,"Private",2021,"PWSI",57,33,2.23684210526316,1.24998245601723
145,"Private",2021,"PWSO",23,8,4.88181818181818,1.1703146430069
145,"Private",2022,"NG",39,13,3.26153846153846,1.90138411123622
145,"Private",2022,"PWSI",128,51,3.00425531914894,1.38735868012135
145,"Private",2022,"PWSO",23,7,4.10666666666667,1.75192411229428
145,"Private",2023,"NG",29,12,3.81666666666667,2.16073780889489
145,"Private",2023,"PWSI",34,14,2.87916666666667,1.41451456311887
145,"Private",2023,"PWSO",20,7,4.3375,1.24036285013701
145,"Private",2024,"NG",79,33,3.66734693877551,2.39734121433708
145,"Private",2024,"NORTHEAST",13,8,,
145,"Private",2024,"PWSI",48,20,2.385,1.06882867515898
145,"Private",2025,"NG",51,19,5.08333333333333,1.76575162123068
145,"Private",2025,"NORTHEAST",16,11,5.5,5.65685424949238
145,"Private",2025,"PWSI",35,15,2.40625,1.0135539781712
