"","Region","year","RptArea","Log_rfrel","Gui_Nonpelrel","gui_pDSRinNonpel","gui_var_pDSRinNonpel","GuiDSR","var_GuiDSR","sqrt_GuiDSR","GuiDSR_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pDSR","priv_var_pDSR","Priv_DSR","var_PrivDSR","sqrt_PrivDSR","PrivDSR_UPRLWR95","blank2","TotalDSRrel","var_totalDSRrel","sqrt_totalDSR","TotalDSR_UPRLWR95"
"210","SE",2001,"CSEO",5594,1090,0.879665017,0.004259682,958.83486853,5060.9281842,71.1402009007565,139.434793765483,NA,3089.46801071223,3187852.64892282,0.354628448,0.001141421,1095.61324578453,415441.940005706,644.547857032902,1263.31379978449,NA,2054.44811431453,420502.868189906,648.46192501172,1270.98537302297
"211","SE",2002,"CSEO",6354,1316,0.879665017,0.004259682,1157.639162372,7377.155829792,85.8903709957758,168.345127151721,NA,3509.20267073034,4112896.0748843,0.354628448,0.001141421,1244.46309683856,535993.884462994,732.116032103514,1434.94742292289,NA,2402.10225921056,543371.040292786,737.137056654179,1444.78863104219
"212","SE",2003,"CSEO",8201,1549,0.879665017,0.004259682,1362.601111333,10220.685250482,101.097404766304,198.150913341957,NA,4529.26835106382,6851520.13978104,0.354628448,0.001141421,1606.20740591328,892892.21690363,944.9297417817,1852.06229389213,NA,2968.80851724628,903112.902154112,950.32252533238,1862.63214965146
"213","SE",2004,"CSEO",7046,1205,0.879665017,0.004259682,1059.996345485,6185.16475605,78.6458184269831,154.145804116887,NA,3891.38212432577,5057531.45542096,0.354628448,0.001141421,1379.99480332459,659099.058480616,811.849159930966,1591.22435346469,NA,2439.99114880959,665284.223236666,815.649571345848,1598.67315983786
"214","SE",2005,"CSEO",8114,1735,0.879665017,0.004259682,1526.218804495,12822.60124845,113.236925286984,221.944373562489,NA,4481.21977814069,6706923.01892104,0.354628448,0.001141421,1589.16801506894,874048.275534627,934.905490161774,1832.41476071708,NA,3115.38681956394,886870.876783077,941.738220942039,1845.8069130464
"215","SE",2006,"CSEO",5240,1185,0.965051258,1.57e-05,1143.58574073,22.0463325,4.69535222320967,9.20289035749095,NA,2893.96002433538,2797150.85245272,0.405405405,0.000466251,1173.22703571949,464930.679899104,681.858254990804,1336.44217978198,NA,2316.81277644949,464952.726231604,681.8744211595,1336.47386547262
"216","SE",2007,"CSEO",5145,1070,0.956864808,2.17e-05,1023.84534456,24.84433,4.98440869110871,9.76944103457306,NA,2841.49319183311,2696646.83526773,0.356741573,0.000646414,1013.67875092334,350149.896664406,591.734650552429,1159.79991508276,NA,2037.52409548334,350174.740994406,591.755642976394,1159.84106023373
"217","SE",2008,"CSEO",4496,1119,0.919354839,3.52e-05,1028.758064841,44.0760672,6.63898088564804,13.0124025358702,NA,2483.06188347554,2059235.04187886,0.365019011,0.000441486,906.36479295804,278001.315221625,527.258300287084,1033.42626856268,NA,1935.12285779904,278045.391288825,527.300096044771,1033.50818824775
"218","SE",2009,"CSEO",2028,472,0.959098497,3.28e-05,452.694490584,7.3073152,2.70320461674658,5.29828104882329,NA,1120.02880331148,418976.06752061,0.384615385,0.000608448,430.780309396733,62996.9099158117,250.991852289694,491.944030487801,NA,883.474799980733,63004.2172310117,251.0064087449,491.972561140004
"219","SE",2010,"CSEO",2413,888,0.911933069,3.54e-05,809.796565272,27.9144576,5.28341344208458,10.3554903464858,NA,1332.65754555749,593154.676367009,0.320132013,0.0002397,426.626342698959,61357.0444944316,247.703541546001,485.498941430162,NA,1236.42290797096,61384.9589520316,247.759881643561,485.60936802138
"220","SE",2011,"CSEO",3363,1058,0.875067313,5.89e-05,925.821217154,65.9305396,8.11976228716087,15.9147340828353,NA,1640.24034593725,1713584.96833279,0.380952381,0.000330754,624.853465197058,250140.164686411,500.140145045778,980.274684289724,NA,1550.67468235106,250206.095226011,500.206052768268,980.403863425806
"221","SE",2012,"CSEO",3615,1875,0.901669759,4.11e-05,1690.630798125,144.4921875,12.0204903186185,23.5601610244922,NA,1878.69473901666,984669.711349431,0.346786248,0.00033911,651.505499680928,119947.868559818,346.33490808727,678.816419851049,NA,2342.13629780593,120092.360747318,346.543447127944,679.225156370769
"222","SE",2013,"CSEO",3645,1501,0.841133005,5.49e-05,1262.540640505,123.6897549,11.1215895851268,21.7983155868484,NA,1123.55561704483,578647.089839533,0.314814815,0.000235231,353.711953722178,57781.8345640217,240.378523508282,471.141906076233,NA,1616.25259422718,57905.5243189217,240.635667179497,471.645907671814
"223","SE",2014,"CSEO",2622,1114,0.780102041,8.76e-05,869.033673674,108.7112496,10.426468702298,20.4358786565041,NA,3265.00607952678,5538426.38296565,0.297169811,0.000197224,970.261239566825,492292.631689032,701.635683021489,1375.20593872212,NA,1839.29491324083,492401.342938632,701.713148614612,1375.35777128464
"224","SE",2015,"CSEO",3178,1555,0.863247863,4.39e-05,1342.350426965,106.1512975,10.302975177103,20.1938313471218,NA,1201.02672548002,773658.924890229,0.345829428,0.000212225,415.350385485469,92998.3718343325,304.95634414508,597.714434524357,NA,1757.70081245047,93104.5231318325,305.130337940744,598.055462363858
"225","SE",2016,"CSEO",3587,1935,0.867232901,5.15e-05,1678.095663435,192.8275875,13.8862373413391,27.2170251890246,NA,3568.6110221083,3499836.0048138,0.379692833,0.000201133,1354.97602885933,507824.981552452,712.618398269685,1396.73206060858,NA,3033.07169229433,508017.809139952,712.75368055167,1396.99721388127
"226","SE",2017,"CSEO",5317,3316,0.796583851,8.39e-05,2641.472049916,922.5523184,30.3735463586325,59.5321508629198,NA,2561.43215258856,4371531.43065873,0.40052356,0.000314685,1025.91392445323,704717.517500339,839.474548452983,1645.37011496785,NA,3667.38597436923,705640.069818739,840.023850743977,1646.44674745819
"227","SE",2018,"CSEO",5432,3527,0.765291607,8.52e-05,2699.183497889,1059.8649108,32.5555665101991,63.8089103599903,NA,2198.90431095406,1795545.67996348,0.324427481,0.000279203,713.384986562868,190838.229924512,436.850351864928,856.226689655259,NA,3412.56848445187,191898.094835312,438.061747742612,858.601025575519
"228","SE",2019,"CSEO",6082,3802,0.901604278074866,9.49828734817617e-05,3427.89946524064,1372.99681268506,NA,NA,NA,4129.68202895808,6461933.03596563,0.324832214765101,0.000294779901903092,1341.45375974209,688769.2229235,829.921214889402,1626.64558118323,NA,4769.35322498273,690142.219736185,830.7479881024,1628.2660566807
"229","SE",2020,"CSEO",4441,3314,0.878873934983719,0.00421674387575829,2912.58822053604,46310.7944229275,215.199429420544,421.790881664265,NA,9569.96347607053,31121567.4321015,0.353353011417205,0.00119416819592572,3381.57541342218,4032318.90611275,2008.06347163449,3935.8044044036,NA,6294.16363395823,4078629.70053568,2019.56175952499,3958.34104866898
"230","SE",2021,"CSEO",9236,7145,0.878873934983719,0.00421674387575829,6279.55426545867,215269.097019933,463.971008814057,909.383177275551,NA,6688.93731496975,13073339.323194,0.353353011417205,0.00119416819592572,2363.55614342548,1701356.68476924,1304.36064214206,2556.54685859843,NA,8643.11040888415,1916625.78178918,1384.42254452504,2713.46818726907
"231","SE",2022,"CSEO",8456,6297,0.0564516129032258,5.55246828977902e-06,355.475806451613,220.16763309219,14.8380468085321,29.082571744723,NA,4576.01401050789,8866090.49409056,0.353353011417205,0.00106568913981395,1616.94833090028,1138769.36092337,1067.13137003996,2091.57748527833,NA,1972.4241373519,1138989.52855646,1067.2345236903,2091.77966643299
"232","SE",2023,"CSEO",9726,5841,0.0279146141215107,2.34147799119491e-06,163.049261083744,79.8848625809123,8.93783321509818,17.5181531015924,NA,7589.42825968357,17041268.0429465,0.353353011417205,0.00106568913981395,2681.74733049403,2207288.39332779,1485.69458278873,2911.96138226592,NA,2844.79659157777,2207368.27819037,1485.72146723078,2912.01407577232
"233","SE",1999,"EWYKT",195,8,0.988211472,0.000515239,7.905691776,0.032975296,0.181591012993485,0.35591838546723,NA,132.913639096949,32040.4152704687,0.123340551,0.004021098,16.3936414816329,687.301871408227,26.2164427680078,51.3842278252952,NA,24.2993332576329,687.334846704227,26.2170716653143,51.3854604640161
"234","SE",2000,"EWYKT",361,22,0.988211472,0.000515239,21.740652384,0.249375676,0.499375285732084,0.978775560034884,NA,246.060634430763,109810.360511841,0.123340551,0.004021098,30.3492542300999,2355.55206269011,48.5340299448759,95.1266986919568,NA,52.0899066140999,2355.80143836611,48.5365989575507,95.1317339567994
"235","SE",2001,"EWYKT",631,53,0.988211472,0.000515239,52.375208016,1.447306351,1.20304046108184,2.3579593037204,NA,430.094903949616,335496.220499805,0.123340551,0.004021098,53.0481424354377,7196.76003739043,84.8337199313482,166.274091065443,NA,105.423350451438,7198.20734374143,84.842249756483,166.290809522707
"236","SE",2002,"EWYKT",810,41,0.988211472,0.000515239,40.516670352,0.866116759,0.93065394159161,1.82408172551956,NA,552.102808556559,552839.354607614,0.123340551,0.004021098,68.0966646160136,11859.007438026,108.899069959417,213.442177120457,NA,108.613334968014,11859.873554785,108.903046581742,213.449971300214
"237","SE",2003,"EWYKT",789,136,0.988211472,0.000515239,134.396760192,9.529860544,3.08704722088924,6.05061255294292,NA,537.789032038426,524545.203276461,0.123340551,0.004021098,66.3311955333762,11252.0670161978,106.075760738247,207.908491046964,NA,200.727955725376,11261.5968767418,106.120671298017,207.996515744114
"238","SE",2004,"EWYKT",769,63,0.988211472,0.000515239,62.257322736,2.044983591,1.43002922732369,2.80285728555444,NA,524.156863925919,498289.336351338,0.123340551,0.004021098,64.6497964070549,10688.8500191411,103.386894813323,202.638313834113,NA,126.907119143055,10690.8950027321,103.396784295896,202.657697219957
"239","SE",2005,"EWYKT",686,37,0.988211472,0.000515239,36.563824464,0.705362191,0.839858435094868,1.64612253278594,NA,467.583366259012,396530.999727061,0.123340551,0.004021098,57.6719900328214,8506.02265554836,92.2281012248889,180.767078400782,NA,94.2358144968214,8506.72801773935,92.2319251546847,180.774573303182
"240","SE",2006,"EWYKT",448,26,1,0,26,0,0,0,NA,305.360565720171,169116.094844028,0.0875,0.000502162,26.719049500515,1426.54291096948,37.7696030025401,74.0284218849785,NA,52.719049500515,1426.54291096948,37.7696030025401,74.0284218849785
"241","SE",2007,"EWYKT",293,23,1,0,23,0,0,0,NA,199.711262848237,72337.6097450222,0.050955414,0.000309993,10.1763700788947,222.609387694601,14.9201001234778,29.2433962420164,NA,33.1763700788947,222.609387694601,14.9201001234778,29.2433962420164
"242","SE",2008,"EWYKT",64,26,1,0,26,0,0,0,NA,43.6229379600244,3451.34887436791,0.208955224,0.002504438,9.11524077297501,164.103316787754,12.8102816826077,25.1081520979111,NA,35.115240772975,164.103316787754,12.8102816826077,25.1081520979111
"243","SE",2009,"EWYKT",124,5,1,0,5,0,0,0,NA,84.5194422975474,12956.0401104202,0.057291667,0.000282771,4.8422597431368,48.2096425824401,6.94331639653848,13.6089001372154,NA,9.8422597431368,48.2096425824401,6.94331639653848,13.6089001372154
"244","SE",2010,"EWYKT",116,21,1,0,21,0,0,0,NA,79.0665750525443,11338.2203255602,0.104477612,0.00046781,8.2606869505086,131.991811578199,11.4887689322311,22.517987107173,NA,29.2606869505086,131.991811578199,11.4887689322311,22.517987107173
"245","SE",2011,"EWYKT",79,25,0.976851852,0.000105174,24.4212963,0.06573375,0.256385939552075,0.502516441522066,NA,14.4833333333333,4560.09253336561,0.173913043,0.000522427,2.51884057278333,140.415306274506,11.8496964633912,23.2254050682467,NA,26.9401368727833,140.481040024506,11.8524697858508,23.2308407802675
"246","SE",2012,"EWYKT",61,18,0.926829268,0.000237122,16.682926824,0.076827528,0.277177791318136,0.543268470983546,NA,24.4632124352332,1532.2908081916,0.17037037,0.001054808,4.16780655397927,46.7238906381956,6.83548759330274,13.3975556828734,NA,20.8507333779793,46.8007181661957,6.84110503984522,13.4085658780966
"247","SE",2013,"EWYKT",88,25,1,0,25,0,0,0,NA,120.121673003802,343213.550012279,0.123340551,0.004021098,14.8158733353308,6659.38711730272,81.6050679633485,159.945933208163,NA,39.8158733353308,6659.38711730272,81.6050679633485,159.945933208163
"248","SE",2014,"EWYKT",132,50,1,0,50,0,0,0,NA,97.335952848723,24263.5588457558,0.123340551,0.004021098,12.0054700564715,504.782075971164,22.467355785031,44.0360173386607,NA,62.0054700564715,504.782075971164,22.467355785031,44.0360173386607
"249","SE",2015,"EWYKT",194,74,1,0,74,0,0,0,NA,245.453044375645,132044.625060994,0.018181818,0.000330579,4.4627825803839,107.218753092498,10.3546488637953,20.2951117730388,NA,78.4627825803839,107.218753092498,10.3546488637953,20.2951117730388
"250","SE",2016,"EWYKT",568,166,1,0,166,0,0,0,NA,1016.11644832606,3827485.23744867,0.15,0.001613924,152.417467248908,93962.0527729246,306.532302984407,600.803313849438,NA,318.417467248908,93962.0527729246,306.532302984407,600.803313849438
"251","SE",2017,"EWYKT",310,151,0.988416988,4.44e-05,149.250965188,1.0123644,1.00616320743704,1.97207988657661,NA,111.385281385281,42121.1226268758,0.092071611,0.000214345,10.2554222988312,368.756165736738,19.2030249111107,37.637928825777,NA,159.506387486831,369.768530136738,19.2293663477697,37.6895580416286
"252","SE",2018,"EWYKT",1167,612,0.94980695,0.000184782,581.2818534,69.208989408,8.31919403596286,16.3056203104872,NA,589.387991927346,481215.427572373,0.185185185,0.000623519,109.145924321844,17019.2305196369,130.457772936828,255.697234956183,NA,690.427777721844,17088.4395090449,130.722758190932,256.216606054227
"253","SE",2019,"EWYKT",1608,797,0.993150684931507,2.33759517236622e-05,791.541095890411,14.8486149184357,NA,NA,NA,1721.70654095463,4522629.71082619,0.125827815,0.000243352,216.638572119529,73427.1165163756,270.97438350585,531.109791671466,NA,1008.17966800994,73441.965131294,271.001780679194,531.16349013122
"254","SE",2020,"EWYKT",1131,367,0.98821826737857,0.000514782594997955,362.676104127935,69.3355529376796,8.32679727972764,16.3205226682662,NA,1396.47588424437,3767077.26261531,0.118727479961556,0.00369659785017778,165.80006256342,74235.8002622959,272.462474961775,534.026450925079,NA,528.476166691355,74305.1358152336,272.589683985351,534.275780611288
"255","SE",2021,"EWYKT",1454,577,0.98821826737857,0.000514782594997955,570.201940277435,171.386054570074,13.0914496741222,25.6592413612795,NA,747.787926926132,641624.815162388,0.118727479961556,0.00369659785017778,88.7829761096158,13483.3985964449,116.118037343235,227.591353192741,NA,658.984916387051,13654.784651015,116.853689077474,229.033230591849
"256","SE",2022,"EWYKT",1444,671,0.98821826737857,0.000471009301487457,663.09445741102,212.067698911014,14.5625443831432,28.5425869909606,NA,485.061971830985,2457001.64880746,0.131070440699649,0.00534569059884411,63.5772864145279,56602.0946411245,237.911947243354,466.307416596974,NA,726.671743825548,56814.1623400355,238.357215833789,467.180143034226
"257","SE",2023,"EWYKT",1543,663,0.98821826737857,0.000471009301487457,655.188711271992,207.04108764554,14.3889223934783,28.2022878912174,NA,111.152945351313,1105533.9891858,0.131070440699649,0.00534569059884411,14.5688655322606,24968.3659544135,158.013815707404,309.707078786512,NA,669.757576804252,25175.407042059,158.667599219434,310.988494470091
"258","SE",1999,"NSEI",6691,1645,0.826924654,0.01161425,1360.29105583,31428.45085625,177.280712025448,347.470195569879,NA,9629.93849401197,20762404.0573427,0.377191022,0.012598581,3632.32634235352,4383846.15645002,2093.76363433173,4103.7767232902,NA,4992.61739818352,4415274.60730627,2101.25548358744,4118.46074783138
"259","SE",2000,"NSEI",7565,2164,0.826924654,0.01161425,1789.464951256,54388.324868,233.213046093052,457.097570342382,NA,10887.8321188463,26540765.4231815,0.377191022,0.012598581,4106.79252427206,5603909.45905456,2367.25779311307,4639.82527450162,NA,5896.25747552806,5658297.78392256,2378.71767637998,4662.28664570476
"260","SE",2001,"NSEI",5344,1327,0.826924654,0.01161425,1097.329015858,20451.86963825,143.010033348189,280.29966536245,NA,7691.28550470781,13244283.7842448,0.377191022,0.012598581,2901.08384001453,2796444.11129556,1672.25719053486,3277.62409344833,NA,3998.41285587253,2816895.98093381,1678.36109968439,3289.58775538141
"261","SE",2002,"NSEI",5038,1129,0.826924654,0.01161425,933.597934366,14803.99923425,121.671686247253,238.476505044616,NA,7250.8788122601,11770960.5766218,0.377191022,0.012598581,2734.96638959453,2485361.52841601,1576.50294272355,3089.94576773816,NA,3668.56432396053,2500165.52765026,1581.19117365683,3099.13470036738
"262","SE",2003,"NSEI",6124,1422,0.826924654,0.01161425,1175.886857988,23484.989097,153.248129179445,300.366333191713,NA,8813.89079918238,17392657.4227307,0.377191022,0.012598581,3324.52047834,3672346.13980671,1916.33664574018,3756.01982565075,NA,4500.407336328,3695831.12890371,1922.45445431191,3768.01073045135
"263","SE",2004,"NSEI",4849,1124,0.826924654,0.01161425,929.463311096,14673.164708,121.13283909824,237.42036463255,NA,6978.86291398357,10904354.1264616,0.377191022,0.012598581,2632.36443492336,2302383.23046953,1517.36061319303,2974.02680185834,NA,3561.82774601936,2317056.39517753,1522.18802885108,2983.48853654811
"264","SE",2005,"NSEI",6055,1305,0.826924654,0.01161425,1079.13667347,19779.35810625,140.639105892529,275.652647549357,NA,8714.58340774809,17002934.1866719,0.377191022,0.012598581,3287.06262187275,3590058.62118618,1894.74500162586,3713.70020318669,NA,4366.19929534275,3609837.97929243,1899.95736249328,3723.91643048684
"265","SE",2006,"NSEI",4774,1141,0.928774929,0.000189006,1059.732193989,246.063320286,15.6864055884705,30.7453549534023,NA,6870.92009720717,10569645.1744349,0.342105263,0.001190843,2350.57792690704,1305835.05037049,1142.73139904813,2239.75354213433,NA,3410.31012089604,1306081.11369078,1142.83905852521,2239.9645547094
"266","SE",2007,"NSEI",2342,452,0.966666667,8.98e-05,436.933333484,18.3464992,4.28328135895834,8.39523146355834,NA,3370.69435853774,2543720.32608506,0.43062201,0.001178782,1451.49517976918,488086.899471955,698.632163210337,1369.31903989226,NA,1888.42851325318,488105.245971155,698.645293386533,1369.3447750376
"267","SE",2008,"NSEI",2770,734,0.947265625,9.78e-05,695.29296875,52.6903368,7.2588109770127,14.2272695149449,NA,3986.68803294174,3558402.87922,0.575581395,0.001428582,2294.66345943041,1206666.21560887,1098.48359824299,2153.02785255626,NA,2989.95642818041,1206718.90594567,1098.50758119626,2153.07485914468
"268","SE",2009,"NSEI",1738,306,0.875420875,0.000368443,267.87878775,34.499528748,5.87362994646411,11.5123146950697,NA,2501.39487409846,1400861.25281166,0.561085973,0.001119402,1403.49757679075,449587.792857109,670.513081794165,1314.20564031656,NA,1671.37636454075,449622.292385857,670.538807516655,1314.25606273264
"269","SE",2010,"NSEI",1607,533,0.912144703,0.000207608,486.173126699,58.979149112,7.67978835072947,15.0523851674298,NA,2312.85475412901,1197642.86736942,0.540342298,0.000608756,1249.7332527863,353661.036264233,594.694069471214,1165.60037616358,NA,1735.9063794853,353720.015413345,594.743655210667,1165.69756421291
"270","SE",2011,"NSEI",1442,429,0.866666667,0.000454943,371.800000143,83.728164663,9.15030953919046,17.9346066968133,NA,1731.91590013141,874226.185743456,0.425287356,0.000704375,736.561933981246,160849.287911328,401.060204846265,786.078001498679,NA,1108.36193412425,160933.016075991,401.164574801902,786.282566611729
"271","SE",2012,"NSEI",1202,549,0.876923077,0.000333114,481.430769273,100.400892714,10.0200245864968,19.6392481895337,NA,2392.91011904762,3409167.61911695,0.344357977,0.000440108,824.017687738067,408287.802568031,638.974023390647,1252.38908584567,NA,1305.44845701107,408388.203460745,639.052582704072,1252.54306209998
"272","SE",2013,"NSEI",940,281,0.700315457,0.000664157,196.788643417,52.442500877,7.24171946964255,14.1937701604994,NA,1650.46132500867,967135.274607714,0.266531027,0.000199076,439.899151978342,69438.9390243593,263.512692340159,516.484876986712,NA,636.687795395342,69491.3815252363,263.612180153415,516.679873100693
"273","SE",2014,"NSEI",1454,428,0.769470405,0.00055433,329.33333334,101.54438672,10.0769234749501,19.7507700109022,NA,1367.71820486059,1884001.59703225,0.341050757,0.000200299,466.461329130386,219890.865252447,468.92522351911,919.093438097455,NA,795.794662470386,219992.409639167,469.033484560716,919.305629739003
"274","SE",2015,"NSEI",1252,404,0.871910112,0.000251538,352.251685248,41.055026208,6.40741962165738,12.5585424584485,NA,1286.32760649565,807027.488687697,0.3125,0.000176826,401.977377029889,79246.564779625,281.507663802649,551.755021053191,NA,754.229062277889,79287.619805833,281.580574269308,551.897925567843
"275","SE",2016,"NSEI",1537,554,0.670781893,0.000455327,371.613168722,139.747141532,11.8214695166041,23.170080252544,NA,1900.11878574571,2125067.19137228,0.308924485,0.00016297,586.993217325319,203739.096873017,451.374674603058,884.694362221994,NA,958.606386047319,203878.844014549,451.529449775481,884.997721559943
"276","SE",2017,"NSEI",1943,752,0.725978648,0.000710477,545.935943296,401.777585408,20.0443903725706,39.2870051302383,NA,3475.21715462704,5155138.9606057,0.23880597,0.000159734,829.902603571351,296741.346309299,544.739705097121,1067.68982199036,NA,1375.83854686735,297143.123894707,545.108359773272,1068.41238515561
"277","SE",2018,"NSEI",3774,2103,0.829545455,0.000268311,1744.534091865,1186.634643399,34.4475636787132,67.5172248102779,NA,8251.05514157973,44703940.9758877,0.326173429,0.000174988,2691.27494839714,4775748.12619844,2185.34851366972,4283.28308679265,NA,4435.80904026214,4776934.76084184,2185.61999461065,4283.81518943687
"278","SE",2019,"NSEI",5817,2821,0.523291925465838,0.000387958765486927,1476.20652173913,3087.39176205435,NA,NA,NA,13496.7635937761,92145960.9024565,0.247876857749469,9.90089862675086e-05,3345.53534941266,5688877.44965272,2385.13677797579,4674.86808483254,NA,4821.74187115179,5691964.84141477,2385.7839050121,4676.13645382371
"279","SE",2020,"NSEI",981,667,0.818939745553861,0.0157796646475232,546.232810284425,7020.19922537195,83.7866291562798,164.221793146308,NA,1027.44457274827,570222.900891816,0.375803199884445,0.0129466919994112,386.116958142706,101581.042168667,318.717809619524,624.686906854267,NA,932.349768427131,108601.241394039,329.547024556495,645.91216813073
"280","SE",2021,"NSEI",2631,1692,0.818939745553861,0.0157796646475232,1385.64604947713,45175.0338514669,212.544192702287,416.586617696482,NA,3605.83650329188,6142269.49874339,0.375803199884445,0.0129466919994112,1355.08489619723,1115316.41070864,1056.08541828237,2069.92741983344,NA,2740.73094567436,1160491.44456011,1077.2610846773,2111.4317259675
"281","SE",2022,"NSEI",3759,2525,0.124031007751938,3.75033886323703e-05,313.178294573643,239.107542149256,15.4631026042401,30.3076811043105,NA,10507.2516697456,89964495.3628392,0.375803199884445,0.0121338426718627,3948.65879948157,15136729.4318626,3890.59499715179,7625.56619441751,NA,4261.83709405522,15136968.5394047,3890.62572594753,7625.62642285715
"282","SE",2023,"NSEI",4303,2616,0.0769230769230769,4.07377608489749e-05,201.230769230769,278.787073908482,16.6969180961183,32.7259594683918,NA,6087.11533386118,22346441.7684419,0.375803199884445,0.0121338426718627,2287.5574205307,3876687.43929843,1968.93053186201,3859.10384244955,NA,2488.78818976147,3876966.22637234,1969.00132716368,3859.24260124082
"283","SE",1999,"NSEO",1134,236,0.915492906,0.003095375,216.056325816,172.400006,13.1301182782182,25.7350318253077,NA,722.837895387813,286195.987094234,0.328283627,0.022094531,237.295846030958,48711.0212811586,220.70573459056,432.583239797497,NA,453.352171846958,48883.4212871586,221.095954931696,433.348071666124
